job_id,title,company_name,source_url,location,posted_date,source_platform,country,sector,description,seniority_level,skills,salary_range,scraped_at,company_size,company_industry,company_contact,company_hq_country,company_type
4333380763,Data Analyst,Campari Group,https://mx.linkedin.com/jobs/view/data-analyst-at-campari-group-4333380763?position=8&pageNum=2&refId=4vfnthd5hgc3eySyzrAHhg%3D%3D&trackingId=LzGpDL%2Bk3%2Bwz0DtN4O%2FR6Q%3D%3D,Mexico City Metropolitan Area,2025-11-21,LinkedIn,Mexico,Tecnología,Vacante: Data Analyst en Campari Group. Ubicación: Mexico City Metropolitan Area. Enlace: https://mx.linkedin.com/jobs/view/data-analyst-at-campari-group-4333380763?position=8&pageNum=2&refId=4vfnthd5hgc3eySyzrAHhg%3D%3D&trackingId=LzGpDL%2Bk3%2Bwz0DtN4O%2FR6Q%3D%3D,Mid,[],,2025-12-09T21:22:04.903522,Grande (201-1000),Tecnología,N/A,Argentina,Corporación
4325761617,Especialista Jr de Investigación de la Experiencia del Cliente,Aeromexico,https://mx.linkedin.com/jobs/view/especialista-jr-de-investigaci%C3%B3n-de-la-experiencia-del-cliente-at-aeromexico-4325761617?position=9&pageNum=2&refId=4vfnthd5hgc3eySyzrAHhg%3D%3D&trackingId=GTtQJTBYhODIiODb9ib%2Bjw%3D%3D,"Mexico City, Mexico",2025-12-04,LinkedIn,Mexico,Tecnología,"Vacante: Especialista Jr de Investigación de la Experiencia del Cliente en Aeromexico. Ubicación: Mexico City, Mexico. Enlace: https://mx.linkedin.com/jobs/view/especialista-jr-de-investigaci%C3%B3n-de-la-experiencia-del-cliente-at-aeromexico-4325761617?position=9&pageNum=2&refId=4vfnthd5hgc3eySyzrAHhg%3D%3D&trackingId=GTtQJTBYhODIiODb9ib%2Bjw%3D%3D",Junior,[],,2025-12-09T21:22:04.906521,No especificado,Tecnología,N/A,México,Corporación
4321952631,Analista de Ciencia de Datos y BI,nexxia,https://mx.linkedin.com/jobs/view/analista-de-ciencia-de-datos-y-bi-at-nexxia-4321952631?position=10&pageNum=2&refId=4vfnthd5hgc3eySyzrAHhg%3D%3D&trackingId=3nmitlw3C7dbv%2BAnktosKg%3D%3D,"Mexico City, Mexico",2025-11-11,LinkedIn,Mexico,Tecnología,"Vacante: Analista de Ciencia de Datos y BI en nexxia. Ubicación: Mexico City, Mexico. Enlace: https://mx.linkedin.com/jobs/view/analista-de-ciencia-de-datos-y-bi-at-nexxia-4321952631?position=10&pageNum=2&refId=4vfnthd5hgc3eySyzrAHhg%3D%3D&trackingId=3nmitlw3C7dbv%2BAnktosKg%3D%3D",Sin Nivel Específico,[],,2025-12-09T21:22:04.912605,No especificado,Tecnología,N/A,Latam,Corporación
4321758011,Data Analyst,Redwood Logistics,https://mx.linkedin.com/jobs/view/data-analyst-at-redwood-logistics-4321758011?position=1&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=3LAwVudo67X1uUYEv4DMEA%3D%3D,"Monterrey, Nuevo León, Mexico",2025-11-10,LinkedIn,Mexico,Tecnología,"Vacante: Data Analyst en Redwood Logistics. Ubicación: Monterrey, Nuevo León, Mexico. Enlace: https://mx.linkedin.com/jobs/view/data-analyst-at-redwood-logistics-4321758011?position=1&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=3LAwVudo67X1uUYEv4DMEA%3D%3D",Mid,[],,2025-12-09T21:22:07.700761,No especificado,Tecnología,N/A,Latam,Corporación
4342443613,Data Analyst,Canals,https://mx.linkedin.com/jobs/view/data-analyst-at-canals-4342443613?position=2&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=hWDeKi0Ce%2FkZ%2FNfRLXWzdQ%3D%3D,"Mexico City, Mexico",2025-12-06,LinkedIn,Mexico,Tecnología,"Vacante: Data Analyst en Canals. Ubicación: Mexico City, Mexico. Enlace: https://mx.linkedin.com/jobs/view/data-analyst-at-canals-4342443613?position=2&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=hWDeKi0Ce%2FkZ%2FNfRLXWzdQ%3D%3D",Mid,[],,2025-12-09T21:22:07.705757,No especificado,Tecnología,N/A,Latam,Corporación
4039121212,Desarrollador de indicadores y reportes,CIMAT,https://mx.linkedin.com/jobs/view/desarrollador-de-indicadores-y-reportes-at-cimat-4039121212?position=3&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=nSORlWnFOKbYPlTLqtU9VQ%3D%3D,"Guanajuato, Guanajuato, Mexico",2024-10-03,LinkedIn,Mexico,Tecnología,"Vacante: Desarrollador de indicadores y reportes en CIMAT. Ubicación: Guanajuato, Guanajuato, Mexico. Enlace: https://mx.linkedin.com/jobs/view/desarrollador-de-indicadores-y-reportes-at-cimat-4039121212?position=3&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=nSORlWnFOKbYPlTLqtU9VQ%3D%3D",Sin Nivel Específico,[],,2025-12-09T21:22:07.712903,No especificado,Tecnología,N/A,Latam,Corporación
4341713584,Analista BI,Empresa Confidencial,https://mx.linkedin.com/jobs/view/analista-bi-at-empresa-confidencial-4341713584?position=4&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=RVmG1GIQQKisFcrebVEqbw%3D%3D,"Mexico City, Mexico",2025-12-03,LinkedIn,Mexico,Tecnología,"Vacante: Analista BI en Empresa Confidencial. Ubicación: Mexico City, Mexico. Enlace: https://mx.linkedin.com/jobs/view/analista-bi-at-empresa-confidencial-4341713584?position=4&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=RVmG1GIQQKisFcrebVEqbw%3D%3D",Sin Nivel Específico,[],,2025-12-09T21:22:07.721899,No especificado,Tecnología,N/A,Colombia,Corporación
4294829948,Data Analyst (GUADALAJARA),Slalom,https://mx.linkedin.com/jobs/view/data-analyst-guadalajara-at-slalom-4294829948?position=5&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=7MY3jHH2EB7vWiHv2xtZ8Q%3D%3D,"Guadalajara, Jalisco, Mexico",2025-11-29,LinkedIn,Mexico,Tecnología,"Vacante: Data Analyst (GUADALAJARA) en Slalom. Ubicación: Guadalajara, Jalisco, Mexico. Enlace: https://mx.linkedin.com/jobs/view/data-analyst-guadalajara-at-slalom-4294829948?position=5&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=7MY3jHH2EB7vWiHv2xtZ8Q%3D%3D",Mid,[],,2025-12-09T21:22:07.729889,No especificado,Tecnología,N/A,Latam,Corporación
4338426595,Analista de datos,Universidad Tecmilenio campus Cancún,https://mx.linkedin.com/jobs/view/analista-de-datos-at-universidad-tecmilenio-campus-canc%C3%BAn-4338426595?position=6&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=6xsVOjZnOLJC7dEt5oVDyQ%3D%3D,"Monterrey, Nuevo León, Mexico",2025-11-21,LinkedIn,Mexico,EdTech,"Vacante: Analista de datos en Universidad Tecmilenio campus Cancún. Ubicación: Monterrey, Nuevo León, Mexico. Enlace: https://mx.linkedin.com/jobs/view/analista-de-datos-at-universidad-tecmilenio-campus-canc%C3%BAn-4338426595?position=6&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=6xsVOjZnOLJC7dEt5oVDyQ%3D%3D",Sin Nivel Específico,[],,2025-12-09T21:22:07.732887,No especificado,EdTech,N/A,Estados Unidos,Corporación
4325405043,Data Analyst,BlackLine,https://mx.linkedin.com/jobs/view/data-analyst-at-blackline-4325405043?position=7&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=jJYm8qk8DBHM8UJa6bkmDg%3D%3D,"Mexico City, Mexico",2025-12-03,LinkedIn,Mexico,Tecnología,"Vacante: Data Analyst en BlackLine. Ubicación: Mexico City, Mexico. Enlace: https://mx.linkedin.com/jobs/view/data-analyst-at-blackline-4325405043?position=7&pageNum=5&refId=5t2uLrdQZ4NbcP2SmDzoRg%3D%3D&trackingId=jJYm8qk8DBHM8UJa6bkmDg%3D%3D",Mid,[],,2025-12-09T21:22:07.739883,No especificado,Tecnología,N/A,Latam,Corporación
